,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,City_State,City
3,2017,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1112,204,72.58,2.34,62.09,1.98,65.02,24,6,11968,4237,108,2693,159,4771,"Atlanta, GA",Atlanta
4,2017,1,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",729,126,47.75,2.86,36.34,0.99,38.06,2,0,6816,3096,103,1419,110,2088,"Austin, TX",Austin
6,2017,1,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",396,59,22.77,0.02,19.04,0,17.18,2,0,2200,1042,1,475,0,682,"Nashville, TN",Nashville
8,2017,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1965,322,109.4,5.95,113.71,0,92.94,47,1,15918,5786,280,3815,0,6037,"Boston, MA",Boston
10,2017,1,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",443,94,26.23,0.2,28.29,1.06,38.23,0,0,3983,1317,9,704,27,1926,"Baltimore, MD",Baltimore
12,2017,1,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",190,41,16.3,0,13.93,0,10.78,5,0,1968,928,0,415,0,625,"Cleveland, OH",Cleveland
13,2017,1,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7930,978,287.77,27.15,310.96,2.95,349.16,156,7,50098,17427,2421,9819,138,20293,"Charlotte, NC",Charlotte
14,2017,1,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",193,41,19.04,0,5.93,0,16.03,0,1,2212,1002,0,195,0,1015,"Columbus, OH",Columbus
18,2017,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2077,336,91.82,10.89,121.72,2.31,109.26,24,4,16440,5204,359,3552,149,7176,"Washington, DC",Washington
19,2017,1,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",821,170,40.99,2.62,82.45,0.19,43.74,10,2,8794,2242,200,3385,4,2963,"Denver, CO",Denver
20,2017,1,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11398,1970,533.44,67.8,625.26,7.24,736.26,143,45,133897,49460,9966,23238,342,50891,"Dallas/Fort Worth, TX",Dallas/Fort Worth
22,2017,1,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",531,93,34.06,0,29.48,1.28,28.18,4,1,3921,1417,0,914,35,1555,"Detroit, MI",Detroit
25,2017,1,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",643,170,26.38,1.16,113.7,0.9,27.86,10,0,9631,1925,116,5196,82,2312,"Newark, NJ",Newark
27,2017,1,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",676,110,33.1,3.49,44.54,0.01,28.87,15,2,5811,1476,130,2424,1,1780,"Fort Lauderdale, FL",Fort Lauderdale
31,2017,1,AA,American Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",218,70,23.2,1.62,40.55,0,4.64,2,1,3980,1593,169,1642,0,576,"Honolulu, HI",Honolulu
32,2017,1,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",211,45,18.26,0.5,14.46,0.92,10.86,0,2,1839,904,12,397,55,471,"Washington, DC",Washington
33,2017,1,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",653,122,45.61,1.46,42.95,1.1,30.89,4,1,6563,2344,175,1690,55,2299,"Houston, TX",Houston
36,2017,1,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",297,49,23.91,0,14.25,0,10.84,3,1,1888,866,0,379,0,643,"Indianapolis, IN",Indianapolis
39,2017,1,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1465,287,95.08,5.81,111.83,0,74.28,31,3,22732,7505,600,5829,0,8798,"New York, NY",New York
41,2017,1,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1214,326,91.16,4.89,169.78,1.25,58.93,7,3,17538,5213,482,8043,51,3749,"Las Vegas, NV",Las Vegas
42,2017,1,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3136,865,188.32,22.92,490.01,3.24,160.49,21,18,45703,12621,1857,18945,144,12136,"Los Angeles, CA",Los Angeles
44,2017,1,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1819,422,108.31,6.11,205.31,1.63,100.64,56,8,20621,5162,225,8868,128,6238,"New York, NY",New York
46,2017,1,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",437,55,22.6,0.45,10.68,0,21.26,9,0,2112,829,15,327,0,941,"Kansas City, MO",Kansas City
47,2017,1,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1537,292,96.48,2.76,113.83,1.27,77.66,8,1,16081,5666,137,4841,39,5398,"Orlando, FL",Orlando
51,2017,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4498,814,249.09,20.54,328.28,4.76,211.32,38,12,49096,18943,1713,11038,126,17276,"Miami, FL",Miami
52,2017,1,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",143,20,5.38,0,5.23,0.52,8.87,2,1,808,151,0,107,13,537,"Milwaukee, WI",Milwaukee
53,2017,1,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",750,152,64.31,1.86,47.78,0,38.04,8,1,7422,3179,61,1577,0,2605,"Minneapolis, MN",Minneapolis
54,2017,1,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",465,86,31.84,1.26,24.48,1.19,27.24,1,1,4627,1667,169,930,56,1805,"New Orleans, LA",New Orleans
56,2017,1,AA,American Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",89,13,2.65,0,5.17,0.24,4.95,0,1,559,87,0,177,8,287,"Oakland, CA",Oakland
61,2017,1,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4864,811,224,18.28,347.75,0.8,220.17,54,7,47648,14099,2996,14346,111,16096,"Chicago, IL",Chicago
64,2017,1,AA,American Airlines Inc.,PDX,"Portland, OR: Portland International",279,61,14.65,0.64,20.88,0,24.83,17,1,3136,813,20,610,0,1693,"Portland, OR",Portland
65,2017,1,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",3484,621,156.99,12.2,295.5,1.02,155.29,56,3,37351,11563,837,12849,85,12017,"Philadelphia, PA",Philadelphia
66,2017,1,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4714,928,250.69,17.58,399.25,2.99,257.5,44,4,45356,15080,1197,12031,161,16887,"Phoenix, AZ",Phoenix
67,2017,1,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",472,74,26.35,0,15.49,0,32.16,2,0,3892,1352,0,462,0,2078,"Pittsburgh, PA",Pittsburgh
71,2017,1,AA,American Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",768,142,58.04,4.15,40.48,1,38.33,35,3,7283,3190,262,1481,121,2229,"Raleigh/Durham, NC",Raleigh/Durham
75,2017,1,AA,American Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",451,83,30.1,4.55,32.95,0,15.4,4,0,3961,1058,842,1222,0,839,"Fort Myers, FL",Fort Myers
76,2017,1,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",702,218,53,4.51,129.85,0,30.64,6,8,11588,3653,1102,4526,0,2307,"San Diego, CA",San Diego
77,2017,1,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",426,87,32.01,3.68,32,0,19.31,5,2,3801,1460,295,989,0,1057,"San Antonio, TX",San Antonio
79,2017,1,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",600,140,38.05,3.29,54.93,0,43.73,6,4,6684,2227,170,1991,0,2296,"Seattle, WA",Seattle
80,2017,1,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1119,430,76.3,5.63,289.79,1.14,57.14,25,31,25179,6046,473,14883,69,3708,"San Francisco, CA",San Francisco
81,2017,1,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",297,97,28.72,1.41,48.41,0.79,17.67,0,0,4121,1518,277,1555,19,752,"San Jose, CA",San Jose
83,2017,1,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",416,131,40.98,1.78,59.77,0,28.47,1,0,6121,2221,100,2323,0,1477,"Salt Lake City, UT",Salt Lake City
84,2017,1,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",324,116,30.84,3.63,61.01,0,20.52,0,0,5118,1601,209,2087,0,1221,"Sacramento, CA",Sacramento
85,2017,1,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",468,140,43.71,2.68,67.19,0,26.41,0,4,5909,1805,928,1996,0,1180,"Santa Ana, CA",Santa Ana
86,2017,1,AA,American Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",706,106,43.5,2.57,22.87,0.1,36.96,14,0,4955,2123,61,652,3,2116,"St. Louis, MO",St. Louis
90,2017,1,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",956,175,54.46,2.03,56.08,0.82,61.62,4,2,8199,2609,80,2114,36,3360,"Tampa, FL",Tampa
97,2017,1,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",64,11,2.96,0.58,4.45,0,3.01,0,0,745,81,55,295,0,314,"Atlanta, GA",Atlanta
98,2017,1,AS,Alaska Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",53,9,3.24,0.25,4.07,0,1.43,0,0,310,73,19,138,0,80,"Austin, TX",Austin
101,2017,1,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International",31,7,4,0.88,1.12,0,1,0,0,484,254,108,76,0,46,"Nashville, TN",Nashville
102,2017,1,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",106,19,2.82,3.51,8.95,0,3.72,1,0,1132,110,470,374,0,178,"Boston, MA",Boston
105,2017,1,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",59,10,2.42,0.82,6.76,0,0,0,0,307,103,41,163,0,0,"Baltimore, MD",Baltimore
108,2017,1,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",124,32,6.34,2.64,15.74,0,7.27,1,0,1556,339,249,564,0,404,"Washington, DC",Washington
109,2017,1,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",120,28,8.18,1,15.61,0,3.21,3,0,1512,480,25,796,0,211,"Denver, CO",Denver
110,2017,1,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",124,21,5.82,2.32,9.65,0,3.21,1,1,1105,311,271,422,0,101,"Dallas/Fort Worth, TX",Dallas/Fort Worth
111,2017,1,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",31,13,3.53,0.43,8.24,0,0.8,1,0,746,200,50,387,0,109,"Detroit, MI",Detroit
112,2017,1,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",111,48,3.16,2.03,37.6,0,5.2,1,0,2421,106,123,1941,0,251,"Newark, NJ",Newark
114,2017,1,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",44,12,2,0.54,7.84,0,1.62,0,1,615,97,71,351,0,96,"Fort Lauderdale, FL",Fort Lauderdale
116,2017,1,AS,Alaska Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",181,45,12.22,5.25,22.89,0,4.64,1,0,2235,518,701,856,0,160,"Honolulu, HI",Honolulu
117,2017,1,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",33,8,4.53,0,3.09,0,0.38,1,0,341,253,0,82,0,6,"Washington, DC",Washington
118,2017,1,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",53,5,1.93,0.4,2.68,0,0,0,0,158,76,17,65,0,0,"Houston, TX",Houston
119,2017,1,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31,4,1,0,1.23,0,1.77,0,0,166,35,0,45,0,86,"New York, NY",New York
123,2017,1,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",399,89,20.51,3.66,43.64,0.34,20.84,7,0,5050,1398,294,2383,11,964,"Las Vegas, NV",Las Vegas
124,2017,1,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",742,262,38.11,8.72,189.98,0,25.19,11,0,12869,2153,795,8301,0,1620,"Los Angeles, CA",Los Angeles
126,2017,1,AS,Alaska Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",53,6,2.98,0.02,0.46,0,2.53,0,0,345,91,3,30,0,221,"Kansas City, MO",Kansas City
127,2017,1,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",73,16,3.86,0.59,9.88,0,1.68,0,0,654,141,117,346,0,50,"Orlando, FL",Orlando
128,2017,1,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",57,14,2.3,0.52,6.92,0,4.27,0,0,748,223,19,278,0,228,"Minneapolis, MN",Minneapolis
129,2017,1,AS,Alaska Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",31,4,1,0.63,1.37,0,1,0,0,173,62,43,46,0,22,"New Orleans, LA",New Orleans
130,2017,1,AS,Alaska Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",166,29,4.55,0.41,12.5,0,11.54,3,0,1298,210,19,328,0,741,"Oakland, CA",Oakland
135,2017,1,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",162,25,5.26,1.76,15.8,0,2.18,1,0,1366,194,276,775,0,121,"Chicago, IL",Chicago
137,2017,1,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International",1216,218,44.66,4.85,57.1,1.71,109.68,40,4,13167,2548,265,2022,59,8273,"Portland, OR",Portland
138,2017,1,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",31,9,1.46,0.59,6.95,0,0,0,0,336,42,49,245,0,0,"Philadelphia, PA",Philadelphia
139,2017,1,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",232,43,9.17,2.56,15.42,0,15.84,3,0,1706,345,174,500,0,687,"Phoenix, AZ",Phoenix
142,2017,1,AS,Alaska Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",31,4,2,0.6,1.4,0,0,0,0,239,44,106,89,0,0,"Raleigh/Durham, NC",Raleigh/Durham
143,2017,1,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",481,108,20.97,3.25,50.63,0.18,32.96,5,8,6439,1514,218,1876,11,2820,"San Diego, CA",San Diego
144,2017,1,AS,Alaska Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",31,9,3.34,0.27,3.38,0,2,0,0,343,192,6,97,0,48,"San Antonio, TX",San Antonio
146,2017,1,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",4629,894,133.61,32.5,399.97,11.08,316.84,64,5,44781,8711,2600,13066,369,20035,"Seattle, WA",Seattle
147,2017,1,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",448,148,13.58,4.63,108.26,0,21.53,7,11,10746,741,527,8221,0,1257,"San Francisco, CA",San Francisco
149,2017,1,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",360,62,15.53,3.78,26.55,0.87,15.28,5,1,3411,971,268,830,13,1329,"San Jose, CA",San Jose
150,2017,1,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",213,48,8.11,3,12.91,0,23.98,5,0,3387,611,266,634,0,1876,"Salt Lake City, UT",Salt Lake City
151,2017,1,AS,Alaska Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",153,15,2.71,0.34,8.95,0,2.99,2,0,744,214,25,310,0,195,"Sacramento, CA",Sacramento
152,2017,1,AS,Alaska Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",296,54,12.62,1.23,28.84,0,11.31,5,0,2046,564,87,898,0,497,"Santa Ana, CA",Santa Ana
153,2017,1,AS,Alaska Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",53,11,4.31,0,2.94,0,3.75,1,0,469,144,0,123,0,202,"St. Louis, MO",St. Louis
154,2017,1,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",31,4,2,0,2,0,0,1,0,271,215,0,56,0,0,"Tampa, FL",Tampa
160,2017,1,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",187,37,14.82,0.46,12.76,0,8.97,3,0,2115,771,39,413,0,892,"Austin, TX",Austin
162,2017,1,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International",93,19,7.27,0.15,2.59,1.05,7.94,4,0,989,337,16,96,46,494,"Nashville, TN",Nashville
163,2017,1,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",3790,827,250.92,6.29,212.41,2.48,354.91,62,5,50704,17003,682,8080,77,24862,"Boston, MA",Boston
168,2017,1,B6,JetBlue Airways,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",237,51,19.04,0.72,9.2,0.18,21.86,3,1,2987,987,46,427,8,1519,"Baltimore, MD",Baltimore
170,2017,1,B6,JetBlue Airways,CLE,"Cleveland, OH: Cleveland-Hopkins International",115,26,11.34,0,3.72,1.18,9.76,3,0,1389,524,0,180,37,648,"Cleveland, OH",Cleveland
171,2017,1,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",116,17,11.38,0,3.24,1,1.39,3,0,1030,614,0,324,15,77,"Charlotte, NC",Charlotte
173,2017,1,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",901,179,68.99,1.54,53.3,0.37,54.79,12,4,9834,3442,57,2321,10,4004,"Washington, DC",Washington
174,2017,1,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",89,22,5.98,0.05,9.38,0,6.59,0,0,1229,341,5,294,0,589,"Denver, CO",Denver
175,2017,1,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",51,12,5.89,0,4.25,0,1.87,1,0,418,172,0,142,0,104,"Dallas/Fort Worth, TX",Dallas/Fort Worth
176,2017,1,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",119,38,16.74,0,6.7,0.98,13.57,2,0,2249,1045,0,212,55,937,"Detroit, MI",Detroit
177,2017,1,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",863,301,68.76,0.11,155.56,1.07,75.49,25,0,19804,4756,24,8109,94,6821,"Newark, NJ",Newark
178,2017,1,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2123,496,163.84,5.58,95.63,3.42,227.53,82,6,39411,11823,942,6290,112,20244,"Fort Lauderdale, FL",Fort Lauderdale
179,2017,1,B6,JetBlue Airways,HOU,"Houston, TX: William P Hobby",62,11,5.27,0,2.22,0.48,3.04,1,0,996,549,0,150,20,277,"Houston, TX",Houston
181,2017,1,B6,JetBlue Airways,IAD,"Washington, DC: Washington Dulles International",169,34,14.29,0.88,7.61,0.17,11.06,2,0,1710,886,32,300,6,486,"Washington, DC",Washington
183,2017,1,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3421,821,233.27,12.13,240.13,2.65,332.81,69,5,62719,16580,759,17370,176,27834,"New York, NY",New York
184,2017,1,B6,JetBlue Airways,LAS,"Las Vegas, NV: McCarran International",492,165,41.86,6.64,66.5,2.08,47.93,11,1,13521,3897,664,4343,200,4417,"Las Vegas, NV",Las Vegas
185,2017,1,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",484,189,43.45,3.13,122.92,1.42,18.09,4,4,8997,2378,243,4838,42,1496,"Los Angeles, CA",Los Angeles
186,2017,1,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",532,184,53.56,1.5,92.79,2.49,33.66,17,2,12141,3116,163,5641,172,3049,"New York, NY",New York
188,2017,1,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1656,403,124.46,4.59,95.79,0.27,177.88,30,5,27219,7197,962,4655,12,14393,"Orlando, FL",Orlando
189,2017,1,B6,JetBlue Airways,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",157,20,11.56,0,5.44,0,3,3,1,957,611,0,175,0,171,"New Orleans, LA",New Orleans
190,2017,1,B6,JetBlue Airways,OAK,"Oakland, CA: Metropolitan Oakland International",143,39,20.96,0.71,4.4,0,12.94,6,2,2892,1643,55,251,0,943,"Oakland, CA",Oakland
191,2017,1,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",170,49,21.11,1.3,14.6,0.46,11.53,3,1,3008,1662,168,508,32,638,"Chicago, IL",Chicago
194,2017,1,B6,JetBlue Airways,PDX,"Portland, OR: Portland International",80,21,5.9,0.38,1.5,0,13.22,0,3,1125,256,45,56,0,768,"Portland, OR",Portland
195,2017,1,B6,JetBlue Airways,PHL,"Philadelphia, PA: Philadelphia International",181,61,18.22,0.5,21.23,0,21.05,4,0,5138,1064,8,1586,0,2480,"Philadelphia, PA",Philadelphia
196,2017,1,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",62,20,9.93,0.78,7.69,0,1.6,1,0,877,394,171,191,0,121,"Phoenix, AZ",Phoenix
197,2017,1,B6,JetBlue Airways,PIT,"Pittsburgh, PA: Pittsburgh International",143,26,15.26,1.06,5.59,0,4.08,2,0,1159,695,34,258,0,172,"Pittsburgh, PA",Pittsburgh
202,2017,1,B6,JetBlue Airways,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",220,44,20.19,1.38,11.16,0.35,10.92,7,0,2222,948,132,458,35,649,"Raleigh/Durham, NC",Raleigh/Durham
206,2017,1,B6,JetBlue Airways,RSW,"Fort Myers, FL: Southwest Florida International",505,91,35.36,2.02,23.46,0,30.16,12,1,5887,1958,390,1262,0,2277,"Fort Myers, FL",Fort Myers
207,2017,1,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",136,41,12.64,0.28,22.82,0,5.25,2,13,1695,697,27,745,0,226,"San Diego, CA",San Diego
209,2017,1,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",143,38,14.06,0,9.43,0.18,14.33,1,4,1895,721,0,329,30,815,"Seattle, WA",Seattle
210,2017,1,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",558,208,37.21,6.18,113.04,2.5,49.07,17,15,17081,2464,590,8659,195,5173,"San Francisco, CA",San Francisco
211,2017,1,B6,JetBlue Airways,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",162,26,7.9,0.24,6.43,0,11.43,2,13,1621,661,9,214,0,737,"San Jose, CA",San Jose
213,2017,1,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",216,78,27.56,2.41,25.92,0,22.11,2,0,4893,1911,379,1134,0,1469,"Salt Lake City, UT",Salt Lake City
214,2017,1,B6,JetBlue Airways,SMF,"Sacramento, CA: Sacramento International",82,22,6.21,0.76,4.67,0,10.35,3,2,1292,354,38,181,0,719,"Sacramento, CA",Sacramento
220,2017,1,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",436,108,39.86,0.59,24.66,0,42.88,9,1,6927,2157,43,1303,0,3424,"Tampa, FL",Tampa
226,2017,1,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19181,2722,773.26,170.76,783.23,1,993.76,302,70,253070,92851,22326,56637,28,81228,"Atlanta, GA",Atlanta
228,2017,1,DL,Delta Air Lines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",333,62,24.88,11.9,8.35,0,16.88,4,0,5393,1923,1646,383,0,1441,"Austin, TX",Austin
236,2017,1,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",419,81,34.41,10.32,13.62,0,22.65,5,0,5236,2219,909,663,0,1445,"Nashville, TN",Nashville
238,2017,1,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1222,236,83.56,16.78,77.62,0,58.05,8,2,17310,7377,1801,3457,0,4675,"Boston, MA",Boston
241,2017,1,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",541,95,44.61,13.84,15.05,0,21.5,2,0,6696,3125,1183,759,0,1629,"Baltimore, MD",Baltimore
249,2017,1,DL,Delta Air Lines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",195,28,12.68,6.81,3.12,0,5.39,3,2,2828,1237,713,244,0,634,"Cleveland, OH",Cleveland
250,2017,1,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",431,75,29.37,9.28,18.26,0,18.08,3,0,4654,2176,644,662,0,1172,"Charlotte, NC",Charlotte
251,2017,1,DL,Delta Air Lines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",275,48,23.85,7.4,5.6,0,11.14,6,2,4743,2201,1056,337,0,1149,"Columbus, OH",Columbus
254,2017,1,DL,Delta Air Lines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",491,82,31.02,9.88,11.98,0,29.12,2,1,6944,2114,1799,475,0,2556,"Cincinnati, OH",Cincinnati
256,2017,1,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",132,24,9.2,1.87,7.78,0,5.15,3,0,834,379,37,199,0,219,"Dallas, TX",Dallas
258,2017,1,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",692,142,50.51,11.93,44.1,0,35.46,8,3,9419,3244,1181,2023,0,2971,"Washington, DC",Washington
259,2017,1,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",649,168,62.31,11.06,65.28,0,29.35,6,0,12078,5285,840,3465,0,2488,"Denver, CO",Denver
260,2017,1,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",429,56,26.85,9.74,9.88,0,9.53,2,1,5024,1940,1037,648,0,1399,"Dallas/Fort Worth, TX",Dallas/Fort Worth
262,2017,1,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4157,586,196.97,31.26,158.79,0,198.97,28,3,43489,19522,3908,6878,0,13181,"Detroit, MI",Detroit
267,2017,1,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",378,106,17.13,7.43,73.49,0,7.95,9,0,6912,1820,759,3734,0,599,"Newark, NJ",Newark
272,2017,1,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",961,145,65.24,11.43,37.14,1,30.18,38,4,10863,4393,1104,1879,250,3237,"Fort Lauderdale, FL",Fort Lauderdale
283,2017,1,DL,Delta Air Lines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",283,80,25.54,5.27,28.72,0,20.47,1,0,6225,2974,588,1095,0,1568,"Honolulu, HI",Honolulu
284,2017,1,DL,Delta Air Lines Inc.,HOU,"Houston, TX: William P Hobby",163,21,5.56,4.78,4.73,0,5.93,3,1,1457,433,602,153,0,269,"Houston, TX",Houston
